962,伊達市,イベント情報,イベント情報,霊山神社春季例大祭,りょうぜんじんじゃしゅんきれいたいさい,37.7990872,140.6464187,伝統の「濫觴武楽」が奉納され、地区の青年たちが白襷白鉢巻の武者姿で勇壮な舞を見せる。,024-587-1326,960-0804,伊達市霊山町大石字古屋舘1,,20170429,2017年4月29日（土）　1日間,
963,伊達市,イベント情報,イベント情報,愛宕神社例大祭,あたごじんじゃれいたいさい,37.8097912,140.5120232,県指定重要無形民族文化財の「箱崎の獅子舞」が境内で奉納される。,024-583-4633,960-0502,伊達市箱崎字愛宕山1,,20170429,2017年4月29日～30日　2日間,
964,伊達市,イベント情報,イベント情報,霊山新緑まつり,りょうぜんしんりょくまつり,37.7550177,140.6867843,登山者の先着で記念品を配布するほか、地元のうまいものを集めた物産展が開かれる。,024-529-7779,960-0807,伊達市霊山町石田字宝司沢,,,2016年5月上旬　約1週間,
965,伊達市,イベント情報,イベント情報,長岡天王祭,ながおかてんのうさい,37.8184649,140.502371,夕暮れ時に8台の山車が一斉に集まって行われるリズミカルな笛や太鼓の競演が見所です。,024-583-2111,960-0414,伊達市長岡周辺,,20160724,2016年7月24日～25日　2日間(毎年同日),
966,伊達市,イベント情報,イベント情報,ほばらサマーフェスティバル,ほばらさまーふぇすてぃばる,37.8212491,140.5562171,保原中欧公民館前や陣屋通りにて、盆踊りや保原よいとこ踊りなど多彩なイベントを開催します。,024-575-2284,960-0612,伊達市保原町字宮下111-4,,,2016年8月上旬　1日間,
968,伊達市,イベント情報,イベント情報,伊達のふる里夏まつり,だてのふるさとなつまつり,37.8551999,140.6059924,火振り山の火まつりやオラトリオ、踊り流しのイベントが数多く開催されます。,024-577-0057,960-0782,伊達市梁川町中町10,,20160813,2016年8月13日(土)　1日間,
969,伊達市,イベント情報,イベント情報,小手姫の里夏まつり,おてひめのさとなつまつり,37.7392786,140.6134674,納涼盆踊り大会、流灯花火大会が同時開催されます。,024-572-2341,960-0901,伊達市月舘町布川字西原,,,2016年8月中旬,
970,伊達市,イベント情報,イベント情報,第56回伊達ももの里マラソン大会,だい５６かいだてもものさとまらそんたいかい,37.8212491,140.5562171,伊達市の特産品「桃」の季節に行われ、参加賞として桃がもらえる。,024-597-8015,960-0612,伊達市保原町字宮下111-4,,20160828,2016年8月28日(日)　1日間,
1235,三春町,イベント情報,催し,西方水かけ祭り,にしかたみずかけまつり,37.4033209,140.4708635,若者たちがバケツで激しく水をかけ合い、五穀豊穣、無病息災、子孫繁栄を祈願します。,,963-7722,田村郡三春町西方中ノ内３８４,,,毎年1月1日に開催されます。,
1236,三春町,イベント情報,催し,三春だるま市,みはるだるまし,37.4424306,140.4899965,,,,田村郡三春町大町　おまつり道路,,,１月第３日曜日　,
1237,三春町,イベント情報,催し,滝桜開花,たきざくらかいか,37.4076816,140.5000345,,,,三春の滝桜,,,４月中旬から下旬頃　,
1238,三春町,イベント情報,催し,さくら湖マラソン,さくらこまらそん,37.4072548,140.4844346,,,,三春町　さくら湖,,,６月第２日曜日　,
1239,三春町,イベント情報,催し,三春盆踊り,みはるぼんおどり,37.4417306,140.4920965,,,,田村郡三春町大町　おまつり道路,,,８月のお盆に開催されます。,
1240,三春町,イベント情報,催し,みずウォーク三春大会,みずうぉーくみはるたいかい,37.4092098,140.4950917,,,,福島県田村郡三春町滝字吉田　滝の平野外劇場,,,,
1241,三春町,イベント情報,催し,三春大神宮祭礼,みはるだいじんぐうさいれい,37.4380256,140.4858749,,,,三春大神宮,,,１０月「体育の日」前の土曜・日曜　,
1870,白河市,イベント情報,お祭り,ふるさと表郷まつり,ふるさとひょうごうまつり,37.0617599,140.2829199,表郷地域最大規模、地元密着の賑やかな祭り,,,表郷総合運動公園,,,2015年9月下旬　1日間,午前１０時から午後５時
1871,白河市,イベント情報,お祭り,収穫祭　そばまつり,しゅうかくさい　そばまつり,37.0459526,140.2297164,農産物の収穫時期に合わせて開催されるお祭り,,,白河関の森公園,,,2015年10月中旬　1日間,未定
1872,白河市,イベント情報,お祭り,Ｄｅｃｏｒａしらかわ,Ｄｅｃｏｒａしらかわ,37.1273164,140.2128092,白河市の食と職（産業）にスポットをあて開催されるイベント,,,白河市　小峰通り,,,2015年10月上旬　２日間,未定
1873,白河市,イベント情報,お祭り,サンライズひがしフェスティバル,さんらいずひがしふぇすてぃばる,37.1054799,140.3619103,東地域最大規模、地元密着の賑やかな祭りのお祭り ,,,東風の台公園,,,2015年11月上旬　1日間,未定
1874,白河市,イベント情報,お祭り,新そばまつり,しんそばまつり,37.0459526,140.2297164,地元産のそば粉を使用した「新そば」が食べられるイベント,,,白河関の森公園,,,2015年11月上旬　1日間,未定
1875,白河市,イベント情報,お祭り,白河だるま市,しらかわだるまし,37.1282617,140.2111065,市内の目抜き通りを中心に700軒の露店が並び、伝統ある「白河だるま」などが売られます。,,,市内目抜き通り,,20160211,2016年2月11日　1日間,未定
1876,白河市,イベント情報,お祭り,安珍念仏踊り,あんちんねんぶつおどり,37.1428791,140.2379346,歌舞伎の演目「娘道成寺」の伝説で名高い「安珍」の冥福をお祈りするために行なわれている踊り,,,安珍堂（白河市萱根）,,,2016年3月下旬　1日間,未定
1877,白河市,イベント情報,お祭り,関山山開き,せきやまやまびらき,37.0782494,140.248536,うつくしま百名山の中で一番早く開催される山開き,,,福島県白河市関辺関山,,,2016年3月下旬　1日間,未定
1878,白河市,イベント情報,お祭り,かたくり祭り,かたくりまつり,37.0459526,140.2297164,白河関跡に春の訪れを告げる祭り,,,白河関の森公園,,,2016年4月上旬　1日間,未定
1879,白河市,イベント情報,お祭り,白河桜まつり,しらかわざくらまつり,37.1327455,140.2137659,小峰城や城山公園を会場に開催されるさくら祭り,,,小峰城、城山公園,,,2016年4月中旬　1日間,未定
1880,白河市,イベント情報,お祭り,大昭和祭り,だいしょうわまつり,37.1270065,140.2142396,いつの時代もかわらない大切なものを感じてもらうために開催されるお祭り,,,大工町、新蔵町,,20160429,2016年4月29日　1日間,未定
1881,白河市,イベント情報,お祭り,ご当地キャラこども夢フェスタｉｎしらかわ2016,ごとうちきゃらこどもゆめふぇすたｉｎしらかわ２０１６,37.1273164,140.2128092,しらかわんやキビタンなど、県内外のご当地キャラが一堂に会するイベント　復興に向けチャレンジを続けるふくしまを全国に発信します。,,,白河市　小峰通り,,,2016年5月中旬　２日間,未定
1882,白河市,イベント情報,お祭り,天道念仏さんじもさ踊り,てんどうねんぶつさんじもさおどり,37.0839271,140.2609066,田植えを終えた時期に、五穀豊穣を祈り開催される除蝗祭において行なわれている踊り,,,関辺八幡神社,,,2016年7月上旬　1日間,未定
1883,白河市,イベント情報,お祭り,ふるさと川まつりｉｎたいしん,ふるさとかわまつりｉｎたいしん,37.2037715,140.2486334,大信地域最大規模、地元密着の賑やかな祭り,,,大信庁舎駐車場,,,2016年7月下旬　1日間,未定
1884,白河市,イベント情報,お祭り,白河関祭り,しらかわせきまつり,37.1273164,140.2128092,しらかわ伝統芸能フェスティバル、白河関の踊り流し、市民納涼花火大会により構成される、白河の夏の大イベント　,,,城山公園、小峰通り,,,2016年8月上旬　1日間,未定
1885,白河市,イベント情報,お祭り,しらかわ魂,しらかわたましい,37.129656,140.213756,町なかの賑わいを創出するため、その年ごとのテーマを掲げ、白河商工会議所青年部の主催により開催されているイベント　,,,白河駅前イベント広場,,,2016年8月上旬　２日間,未定
1886,白河市,イベント情報,お祭り,白河提灯まつり（隔年）,しらかわちょうちんまつり（かくねん）,37.1228354,140.2365073,神輿の町内渡御や提灯行列、屋台・山車の引き回しなどが町内をあげて盛大に行われる400年の歴史と伝統がある祭り,,,鹿嶋神社他,,,2016年9月中旬　３日間,未定
2699,相馬市,イベント情報,観光案内処,千客万来館,せんきゃくばんらいかん,37.7984462,140.9187669,,0244-26-4848,976-0042,福島県相馬市中村字北町５５－１,,,,
2701,相馬市,イベント情報,スポーツ施設,相馬こどもドーム,そうまこどもどーむ,37.83711531,140.9318899,"屋内スポーツ施設（人工芝フィールド　約1,000㎡）<br><br>※野球やフットサルなどのほか、<br> 種目を問わず利用できます。<br><br>※ボールなどのスポーツ用具も無料で<br>貸し出しできます。<br><br>※用具の持ち込みもできますが、<br> 他の利用者に迷惑となる用具の使用は<br> お断りする場合もあります。<br>",0244-35-4254,976-0005,相馬市光陽４丁目２－５,,,▽個人利用　市内小中学校が休業日（長期休業期間含む）の9時～12時<br>　※専用利用予約が入ってない時間帯は個人利用可（要確認）<br><br>▽専用(団体)利用　上記時間以外<br><br>▽休館日：12月31日、1月1日<br>　※台風などで臨時的に休館する場合もあります<br>,9時～21時<br>※17時以降は専用利用予約のみ
2702,相馬市,イベント情報,スポーツ施設,相馬光陽サッカー場,そうまこうようさっかーじょう,37.8328706,140.9351607,天然芝メインコート　1面<br>天然芝サブコート　2面<br>人工芝コート　2面（うち1面に照明設備あり）<br>練習用コート　1面<br><br>クラブハウス（復興交流支援センター） <br> 　　控室　最大11室（各23㎡） <br> 　　温水シャワー　男女各12ブース <br><br>※災害時は防災拠点施設となります。 <br>,0244-35-0127,976-0005,相馬市光陽３丁目３－１,,,,9時から21時<br>※夜間利用ができるのは人工芝Ｄコート及びクラブハウスのみ <br>
2703,相馬市,イベント情報,スポーツ施設,相馬光陽パークゴルフ場,そうまこうようぱーくごるふじょう,37.83714462,140.9321133,施設<br>▽レストハウス（受付・休憩）<br>▽トイレ3か所（多目的トイレ1か所）<br>▽駐車場129台（マイクロバス2台、障がい者用4台）<br>▽国際パークゴルフ協会公認コース(9コース81ホール)<br><br>料金<br>▽大人500円　▽高校生以下250円<br>用具レンタル料金<br>▽クラブ1本150円　▽ボール1個50円<br>,0244-26-8009,976-0005,相馬市光陽４丁目２－５,,,定休日：12月31日、1月1日,▽3月から10月＝9時から17時<br>▽11月から2月＝9時から16時
2704,相馬市,イベント情報,スポーツ施設,相馬市ソフトボール場,そうましそふとぼーるば,37.83681558,140.9329727,○ソフトボールコート4面（少年野球兼用）<br> 　　両翼・中堅　76.2メートル<br>　　内野＝土<br> 　　外野＝天然芝<br><br>○付属施設　▽ベンチ▽審判員室▽バックネット<br>　　　　　　▽外野フェンス（各面）▽トイレ2カ所<br><br>※多目的交流広場（わいわい広場）を無料で<br>　 ご利用いただけます。<br>,0244-35-4254,976-0005,相馬市光陽４丁目２－５,,,,〇3月から10月＝9時から17時 <br> 〇11月から2月＝9時から16時 <br><br>※ただし、1、2月は芝養生期間のため休場となります。 
2705,相馬市,イベント情報,スポーツ施設,スポーツアリーナそうま,すぽーつありーなそうま,37.7984462,140.9187669,柔・剣道場、弓道場、アリーナ、観覧席、会議室など<br><br>お申込みは、スポーツアリーナそうまに直接お電話ください。<br>（利用日の６か月前から７日までの９：００～１７：１５）,0244-37-2309,976-0042,相馬市中村字北町５５－１,,,休館日：毎月末日（土、日曜日に当たる時は月曜日）、1/1、12/31,９：００～２１：３０
2706,相馬市,イベント情報,スポーツ施設,松川浦スポーツセンター,まつかわうらすぽーつせんたー,37.8040639,140.9672374,○松川浦体育館<br>○松川浦野球場　　１面<br>○相撲道場<br>○松川浦パークゴルフ場　４コース（36ホール）<br><br>お申込みは、松川浦スポーツセンターに直接お電話ください。<br>（使用しようとする日の6カ月前から７日前まで）,0244-36-4355,976-0025,相馬市岩子字長谷地９－１,,,休館日<br>　毎月第２・第４月曜日、1/1、12/31<br>　(ただし、その日が休日のときは、その日後において最も近い休日でない日),○松川浦体育館・会議室<br>　午前9時～午後9時30分<br><br>○松川浦野球場・松川浦パークゴルフ場<br>　3月～10月　午前9時から午後5時 <br>　11月～2月　午前9時から午後4時 <br><br>○相撲道場<br>　午前７時～午後５時
2707,相馬市,イベント情報,スポーツ施設,長友グラウンド,ながともぐらうんど,37.7999072,140.919028,"多目的グラウンド（夜間照明付）<br>　照明使用料　1,400円（1時間／全面）　700円（1時間/半面）<br><br>お申込みは、スポーツアリーナそうまに直接お電話ください。<br>（利用日の３カ月前から当日まで。受付時間　９：００～１７：１５）<br>",0244-37-2309,976-0042,相馬市中村字北町９４－２,,,年中無休,５：００～２１：３０
2708,相馬市,イベント情報,スポーツ施設,黒木多目的広場,くろきたもくてきひろば,37.82114729,140.8947539,芝生場、ゲートボール場、駐車場<br><br>お申込みは、スポーツアリーナそうまにお電話ください。<br>（利用日の１か月前から７日前まで。受付時間　９：００～１７：１５）<br>,0244-37-2309,976-0052,相馬市黒木字芹谷地４６－２,,,休館日：1/1、12/31,８：３０～２１：３０<br>ただし、ゲートボール場は夜間照明なし
2709,相馬市,イベント情報,スポーツ施設,二の丸球場,にのまるきゅうじょう,37.79859419,140.916481,照明使用料　2，000円（1時間）<br>グラウンドの使用料は無料です。<br><br>お申込みは、スポーツアリーナそうまにお電話ください。<br>（利用日の３か月前から当日まで。 受付時間　９：００～１７：１５）,0244-37-2309,976-0042,相馬市中村字北町９６－１,,,年中無休<br>※ただし、照明の利用期間は4月１日～１０月３１日になります。,５：００～２１：３０
2710,相馬市,イベント情報,スポーツ施設,角田公園テニスコート,すみたこうえんてにすこーと,37.80328797,140.9323608,人工芝（砂入り）テニスコート8面（うち6面は夜間照明有）<br><br>受付期間<br>団体でのご利用は使用する日の3日前まで。 個人のご利用は利用当日可。事前に空き状況をご確認ください。<br><br>申し込み先<br>○平日の９時～１４時の当日利用　スポーツアリーナそうま（０２４４－３７－２３０９）<br>○平日の１４時～２１時の当日利用　 角田公園テニスコート管理棟（０２４４－３５－５０９１）<br>○後日利用の予約や休日の当日利用　角田公園テニスコート管理棟（０２４４－３５－５０９１）<br>　※平日の管理棟管理人の勤務時間は１４時からとなりますので、予約などの申請の際はご注意ください。<br>,0244-37-2309,976-0014,相馬市北飯渕１丁目１５－１,,,休館日：年末年始（12月31日～1月1日）,9：00～21：00
2711,相馬市,イベント情報,スポーツ施設,相馬市民プール,そうましみんぷーる,37.79839906,140.9194583,50メートルプール、8コース、幼児プール<br><br>随時受付。専用使用の場合は、事前にご相談ください。 ,0244-37-2278,976-0042,相馬市中村字北町５６－２,,,利用期間　7月18日～8月31日（平成27年度）,利用時間<br>　午前の部　9：00～12：00<br>　午後の部　13：00～16：00<br>　夜間の部　17：00～18：30<br>　※夜間の部実施期間　7月25日～8月16日（平成27年度）
2712,相馬市,イベント情報,市民会館,相馬市民会館,そうましみんかいかん,37.79949055,140.9182256,大ホール、リハーサル室兼多目的ホール、楽屋、和室、練習室、会議室がございます。<br>イベントや行事予定は、URLよりホームページでご確認ください。<br><br>市民会館の施設予約、問い合わせ、ご意見・ご要望については、相馬市民会館までご連絡ください。,0244-35-2426,976-0042,相馬市中村字北町５１－１,,,,
2713,相馬市,イベント情報,みんなの家,相馬こどものみんなの家,そうまこどものみんなのいえ,37.8028322,140.9320082,子育て支援の地域創生拠点施設として、保育士や児童厚生員などが、幼児を対象に遊びの指導を行います。<br>こどもたちの遊びの場、こどもたちを連れてくる家族同士のコミュニティーの場として、どなたでも利用できます。,0244-35-4700,976-0005,相馬市北飯渕１丁目１５－１,,,休館日：月曜日（国民の休日にあたるときは、その翌日）<br>　　　　1月1日から3日<br>　　　　12月29日から31日,開館時間<br>9時から16時
2714,相馬市,イベント情報,展示施設,LVMH子どもアート・メゾン,ＬＶＭＨこどもあーと・めぞん,37.7997603,140.9262301,絵本の閲覧室、相談室、多目的研修室<br>▽20名程度で利用できる簡易キッチン付研修室を無料で貸し出ししています。<br>▽ギャラリーとしても利用可能です。<br><br>お問い合わせ<br>▽LVMH子どもアート・メゾン（電話0244-26-7415）<br>▽教育委員会　生涯学習課（電話0244-37-2187）<br>▽相馬フォロアーチーム（電話0244-35-6200）,0244-26-7415,976-0042,相馬市中村２丁目２－１５,,,休館日：12月29日～1月3日,9時～18時
2715,相馬市,イベント情報,自然公園,松川浦環境公園,まつかわうらかんきょうこうえん,37.8216168,140.9502267,施設<br>▽芝公園(約5、000㎡。自由にご利用ください) <br>▽管理棟、研修棟(利用手続きが必要となります) <br><br>施設利用<br>▽管理棟・研修棟および貸し出し遊具（ボールなど）を利用される方は、管理棟内係員に申し出てください。<br>▽利用料は無料です。 <br>,0244-38-6222,,相馬市尾浜字札ノ沢１９２番地,,,休園日：12月29日～1月3日,開園時間<br>　▽4月～9月＝9時から18時<br>　▽10月～3月＝9時から16時
2804,小野町,イベント情報,イベント,小野町60周年記念小町ふれあいフェスタ,おのまち６０しゅうねんきねん　こまちふれあいふぇすた,37.2868254,140.6262828,小野町の合併６０周年記念事業「小町ふれあいフェスタ」は３１日、１１月１日の両日、町内の小野運動公園で開かれる。<br>　実行委員会の主催。６０周年を機に誕生した町のイメージキャラクター「小桜（こざくら）ちゃん」の着ぐるみをお披露目する。<br>３１日は福島ファイヤーボンズのチアリーダーズや小野町観光大使の小野まち子さんらのステージなど、１日は「手裏剣戦隊ニンニンジャー」のショー、みちのくボンガーズのお笑いライブなどを繰り広げる。<br>,0247-72-6938,963-3492,小野町大字小野新町字舘廻92,,,,
2925,川俣町,イベント情報,イベント,ざる菊の里,ざるぎくのさと,37.64240636,140.6161373,"川俣町小綱木地区の村上孝さん宅で、約2,000株のざる菊を栽培しています。<br><br>例年、10月下旬から11月中旬の約1ヵ月間、一般開放します。<br><br>見頃は、10月下旬から11月上旬までです。<br><br>駐車場有り（30台程度）",,,川俣町小綱木字芹の沢7,,20151024,平成27年10月24日（土曜日）から平成27年11月15日（日曜日）まで,午前9時から午後4時まで
2929,浪江町,イベント情報,イベント,十日市祭　民俗芸能披露,とうかまちまつり　みんぞくげいのうひろう,37.5897326,140.433676,東日本大震災と原発事故避難により、継承の危機に直面しながらも伝統とプライドを胸に復活を果たした浪江町内の6団体が集結します。<br>今年度は民俗芸能の枠を拡充して、福島県の民俗芸能の権威でもある懸田弘訓先生からご監修・ご解説を頂きながらステージをお楽しみ頂けます。<br>是非、ご来場ください！,,,二本松市市民交流センター内　特設ステージ,,20151114,,11月14日（土曜日）　　9時45分から大堀の神楽<br>　　　　　　　　 　    12時30分から請戸の田植踊り<br>11月15日（日曜日）　 11時30分から相馬流れ山踊り、浦安の舞、室原の神楽、南津島の神楽七芸
2984,伊達市,イベント情報,イベント情報,陣屋通りイルミネーション,じんやどおりいるみねーしょん,37.820814,140.55655,冬の風物詩として地元の人々から愛される陣屋通りのイルミネーション。,024-575-2284,960-0612,福島県伊達市保原町字宮下,,20151128,2016年11月下旬～2017年1月31日　約2カ月間<br>,17：00～24：00※クリスマス期間・大晦日・元日は朝まで点灯<br>
2985,伊達市,イベント情報,イベント情報,保原ニットバースデーフェア,ほばらにっとばーすでーふぇあ,37.8211657,140.5562327,高品質のニットが産地価格で提供されるニットの魅力満載のイベントです。,024-563-6705,960-0612,福島県伊達市保原町宮下111-4,,,未定,
2986,伊達市,イベント情報,イベント情報,ＪＡまつり,じぇいえーまつり,37.7905719,140.5945377,採れたて野菜の即売会や抽選会などが賑やかに行われます。,024-586-1541,960-0801,福島県伊達市霊山町掛田字高田21-1,,,2016年11月上旬,
2987,伊達市,イベント情報,イベント情報,高子二十境巡り,たかこにじゅっきょうめぐり,37.8057255,140.5222821,高子沼周辺や高子二十境巡りウォーキングコースを歩きます。参加自由、当日受付となっており、参加費は無料です。,024-576-6317,960-0684,福島県伊達市保原町上保原字新溜井,,,2016年9月中旬,
2998,伊達市,イベント情報,イベント情報,広瀬大通りイルミネーション,ひろせおおどおりいるみねーしょん,37.8464194,140.6020606,梁川町のメインストリートである広瀬大通りの街路樹にイルミネーションを設置しています。<br>,024-577-0251,960-0756,福島県伊達市梁川町五反田,,,2016年12月6日～2016年1月31日,17:00～23:30頃まで
3000,楢葉町,イベント情報,イベント,しおかぜ荘の日帰り入浴回数券販売,しおかぜそう,37.26938211,141.0150146,　先日リニューアルオープンを迎えた、天神岬温泉しおかぜ荘では皆さまのご要望にお応えして、回数券の販売を開始しています。<br><br>　回数券では、通常１枚７００円のところ→６枚綴り３，５００円で販売中です。１枚ずつ購入いただくよりも、７００円分お得に入浴することができます！！<br><br>　この機会に回数券を購入して、お得に温泉をお楽しみください。,0240-25-5726,979-0604,楢葉町大字北田字上ノ原27-29,,,,１０：００から２１：００（温泉入浴最終受付２０：３０）<br>※毎週木曜日は風呂掃除のため１６：００から２１：００<br>※年２回点検のため休館あり
3128,田村市,イベント情報,スポーツ,都路行政区対抗インディアカ大会,みやこじぎょうせいくたいこういんでぃあかたいかい,37.4379713,140.7942742,,0247-75-2063,963-4701,田村市都路町古道　都路体育館,,,,
3164,福島市,イベント情報,子育て,ままカフェ＠ふくしま,ままかふぇあっとふくしま,37.76321419,140.463354,ままカフェは避難先から戻ってきたママ達の居場所です。<br>「ふくしまに戻ったときに、<br>様々な悩みを安心して話せる場所があったらいいなをカタチにしました」<br><br>避難先から戻ってきたけど、福島での生活・・・みんなはどうしているのかな？？？<br>☆子どもの運動不足が心配されているけど子どもの遊び場ってどうしてる？<br>☆食材はどうやって選んでいる？放射能も心配だけど添加物も心配だよね・・・。<br>☆ママ友に放射線の話をしたら心配しすぎ！って思われるかな・・・。　<br>ままカフェではこんな話題が出ています。　<br>ゆっくりお茶を飲みながらのんびり話したり・・・じっくりお話することもできます。<br>その日の気分で、自由に時間を過ごしていただけます。避難中のママの参加もできます。<br><br>日時：毎月第4金曜日　10時～12時<br>場所：福島市保健福祉センター　3階和室　（福島市森合町10－1）<br>参加費：無料（お菓子と飲み物200円・お持ち込みもOKです）<br>その他：事前申し込みは不要です<br>お子さんと一緒に参加の方はお子さんの飲み物とお菓子は各自でご準備ください<br>問合せ先：024－573－0150　ふくしま子ども支援センター<br>,024-573-0150（ふくしま子ども支援センター）,,,,,,
